Matricula,Nombre_estudiante,Programa_academico,Semestre_del_alumno,Alumnos_Acreditados,Plan_de_estudios,Campus
A05754283,Emely Baugh,IBQ,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A05696222,Ethan Conklin,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A07112453,Amal Soto,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A09744122,Matthew Scroggins,IBQ,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A03757711,Hong Tolliver,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02870848,Lynnette Stroud,IBQ,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A05919032,Duncan Taber,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A00409974,Annamarie Fleming,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02277742,Willodean Hendrickson,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A04820575,Homer Montano,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A05381801,Penni Hilliard,AMC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A03289358,Lavonne Mejia,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A07374628,Erick Ybarra,CIS,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02459824,Jason Forte-Kidwell,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A03469293,Gabriele Neel,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A05805468,Kindra Lau,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A08332618,Rocio Laroche,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A05340159,Cami Callahan,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A01769974,Jeff Arias,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A07294592,Elvin Shephard,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A01798376,Thao Kerr,IBQ,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A06440028,Rebeca Sell,IBQ,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A08533059,Jenelle Dodds-Ezell,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A01472197,Roselia Herrington,IBQ,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02259284,Nu Woo,ICT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02821082,Constance Binder,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A03451008,Oneida Yoder-Knudsen,IBQ,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A01374889,Donna Jefferies,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A08793992,Lashaun Dupre,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A02444535,Tona Gallant,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A07373629,Ned Scott,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A01487756,Giuseppe Olson,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02855964,Nola Wall,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A05843430,Aimee Lovell,ICT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A09431696,Lula Waller,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A06097696,Dorethea Currier,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A06998962,Sherika Reyes,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A06504882,Magda Ham,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A04220045,Alexa Borden,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A00560550,Milton Canada,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A08844998,Jacqualine Wilburn,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A01295117,Karlene Mcgehee,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A08908077,Dot Francis,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A04530107,Tamekia Chacon,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A05483281,Hollis Hitt,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A09275188,Xiao Beeson,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A09984082,Carter Holman,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A05730292,Ailene Alvarez,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02674194,Quinn Close,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A00509047,Leana Niles,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02595046,Marcie Lefebvre,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A03439836,Deeann Clemons,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A09620365,Elin Loftin-Spear,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A00960687,Ellena Seaman,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A07695758,Teri Donald,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A00610095,Vashti Granados-Hwang,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A00238142,Raymond Marino,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A07032382,Myong Hodgson,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A08315289,Tora Bunker,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A00888890,Lina Batista,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A04446476,Katherine Dumas,ESC,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A09155103,Sonya Comeaux,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A07343721,Toccara Nance,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A08398958,Valentina Pinkerton,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02142732,Tammi Apodaca,ICT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A06290635,Eliana Salyer,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A09847396,Loma Tuck,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A01254782,Hugo Canada,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A00614895,Jacquetta Beaman,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02568777,Fay Hull-Yamamoto,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A00571422,Afton Granados,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A09937131,Dominga Mahaffey,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A08296159,Janelle Bruner,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A03738341,Werner Hamm,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A03583680,Oren Strunk,IBQ,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A09128514,Shirley Cook,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A06492920,Thora Mcalister,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A08455802,Alyse Bostic,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A05205561,Reanna Barringer,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02341529,Jae Aguirre,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A06288712,Carlotta Mcmullin,ICT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A01918688,Asuncion Humphreys,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A06742674,Neville Burnette,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02073805,Virgen Baptiste,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02024220,Jae Burt,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A01306383,Elizabet Vanhoose,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A05793585,Elida Montez,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A04184529,Julia Marshall,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A04632095,Carson Hamrick,IBQ,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A06296008,Abram Chu-Mckeever,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A04959111,Arielle Paige,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A06900191,Chasity Baca,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A06319922,Damian Shipley,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A05300733,Ross Shea,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A01736249,Mabelle Pittman,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A07969164,Joesph Toler,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A05402966,Michele Shorter,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A06235994,Tamekia Battle,IBQ,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A07477742,Jame Dailey,IIT,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A01177940,Elinor Forsythe,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A07138345,Mack Clarkson,ICT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A04118858,Carie Graves,IBQ,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A04211303,Hilton Elmore,IBQ,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A01706279,Alberto Manns,CIS,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A05436896,Lanette Capps,CIS,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A04699102,Benny Knowles,ICT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A07084460,Carita Marr,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A04069336,Silas Mercer,ICT,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A05654642,Karly Still,IBQ,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A06851578,Antwan Upshaw,AMC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A09455429,Sharell Stclair,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A01650179,Simonne Cota,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02961177,Leonora Booth,ESC,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A04429599,Kaci Whittle,AMC,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A08068319,Stacy Brookshire,IBQ,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A01200597,Karin Devore,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A07301455,Annabel Esparza,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02116525,Tiera Cassidy,IBQ,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A07028333,Gertrude Nguyen,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A01650357,Mendy Yanez,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A04080927,Kylee Odonnell,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A09532211,Oretha Hurtado,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A05168342,Nam Steward-Appleton,IBQ,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02607248,Lucila Rinehart,AMC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A09730253,Penni Hardin,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A08302666,Bernard Givens,ICT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A08378941,Shawnna Arnett,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A08280036,Lina Hayes,AMC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A01697486,Gordon Purvis,AMC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A06703538,Inge Vanburen,ICT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A09100636,Donnie Chau,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A05785492,Kindra Mahan,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A03954643,Karl Mackenzie,ICT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A09352428,Neil Raney,IIT,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A08325721,Evangeline Mcrae,CIS,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A09380860,Isidro Wang,ICT,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A00199504,Quincy Wilde,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A05926738,Genevie Grove,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A06832160,Wilfred Hedges,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A00255296,Kassie Macon,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A00325453,Magan Kahn-Beach,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A03845336,Sylvester Koonce,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A07130516,Sharilyn Costa,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A07892677,Calvin Way,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A07630520,Brittanie Neal,CIS,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A09029711,Willard Alicea,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A07551124,Sylvie Moya-Galarza,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A04214614,Nelda Fusco,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A06893664,Shawanna Henry,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A00747746,Chanda Corbett,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02451774,Illa Mahoney,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A08561834,Meredith Francisco,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A00696402,Dominque Hammons,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A01965600,Tiffani Askew,ICT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A01247815,Albertha Quinones,IBQ,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A04263064,Janyce Redden,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A04250501,Shawnta Nemeth,CIS,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02450375,Desire Laporte,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A09393373,Bethanie Roussel,SLD,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A04974105,Jackqueline Wallin,ICT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A07631590,Peggie George,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02308760,Nikita Pennington,CIS,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A06215239,Napoleon Ragland,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A08949145,Argelia Satterfield,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A05466297,Yolande Antoine,SLD,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A07968294,Yahaira Stuart,IBQ,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02506218,Roseanne Thao,SLD,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A09416068,Rosina Card,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A06986818,Kristen Hollenbeck,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02094062,Ervin Orosco-Wilhite,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A07938583,Caitlin Hargis,SLD,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A07769495,Evie Worley,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A08206126,Jeni Bearden,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A05271678,Blossom Hartnett,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A04130382,Lianne Salisbury,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A07939673,Mi Trowbridge,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A06013520,Christine Osullivan-Diehl,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A08264905,Hayley High,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A06578402,Jule Royer,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A07019654,Jann Teeter,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02925572,Peg Dennis-Hollins,CIS,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A03850729,Horacio Whitmire,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A03460745,Benito Lombardi,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A01227203,Rosalia Coles,IBQ,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A09878248,Latoria Stanfield,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A08755132,Bernardo Duffy,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A03674007,Effie Harris,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A06977287,Yvonne Redden,ICT,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A07182182,Xiao Ly,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A08364049,Rana Dorman,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A09601023,Betty Porterfield,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A05688470,Marni Means,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A06301607,Kalyn Appleton,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A04883583,Matha Aponte,IBQ,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02492257,Desiree Keaton,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A09661013,Jennine Nestor,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A00753489,Brigette Bartholomew,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A06137739,Tish Schulte,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A05150762,Reanna Small,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A04162951,Chu Heard,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A00299860,Treena Nowak,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A03149767,Majorie Farias,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A03394069,Leila Comeaux,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A06728409,Darby Mccurry,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A03764088,Henriette Read,ICI,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A07874321,Reginia Kingsbury,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A05575744,Georgann Stubbs,AMC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A08901010,Noe Calabrese,IBQ,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A05234457,Odilia Aleman,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A01574956,Tyler Philips,AMC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A04448168,Clelia Withers,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A08175369,Sang Crowell,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A01102756,Lory Wu-Sloan,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A05230274,Leanora Kiser,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A05889025,Valrie Picard,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A06985884,Buford Berlin,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A00936225,Everett Messenger,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02989498,Harmony Escamilla,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A04541281,Rochelle Castellano,IIT,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A09296745,Erna Sewell,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A04976426,Corrin Pool-Barraza,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A05937994,Alisia Havens,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02140775,Aldo Tackett,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A07962877,Morris Marquardt,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A09576484,Dorian Coronado,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A01309062,Buster Sheldon,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A07635168,Alda Woody,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A08295809,Carin Mcafee,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A06443605,Charisse Tomlinson,ICT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A07542525,Carmina Stahl,SLD,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A05547477,Lisabeth Danielson,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A07850663,Jordan Hughes,AMC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A07975202,Danelle Pham,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A05451723,Jamika Gooch,AMC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A01414598,Cecila Walden,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A00134837,Stefani Easterling,ICT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02146097,Cyndi Tejeda,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A03908270,Fe Bayne,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A09051802,Sanora Keaton,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A03984651,Kenneth Brim,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A00466472,Georgia Tinsley,ICT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02606008,Josette Lowell,ESC,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A02435261,Sherri Dennis,ESC,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A02821870,Rae Siegel,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A04926573,Noella Headley,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A08661747,Kazuko Cathey-Riddle,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A03251825,Joesph Ives,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A09832049,Marcella Slaton,CIS,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A05499119,Luna Robert,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A05666756,Tommye Sharp,ICT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A03462739,Latia Lynn-Steiner,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02955577,Yer Stidham,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02083403,Deloris Anaya,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A07117910,Holli Broadway,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A08187883,Mildred Maier,CIS,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A05553582,Lilian Bartlett,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A01280026,Lamar Stark-Mcwilliams,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02819627,Francesca Andrus,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A01449048,Maryanne Wolford,IBQ,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A07365600,Etta Swanson,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A04990147,Angie Stark,IBQ,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A00771175,Stuart Roney,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A04791095,Danae Shumaker,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A06406358,Eura Iverson,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A07437904,Camie Bozeman,CIS,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A09917290,Shin Neely,CIS,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A06978530,Cecily Book,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A03022066,Johnette Crews,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A05546843,Samual Hall,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A08175612,Lachelle Costa,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A05650903,Suzanna Ziegler,AMC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A09769278,Carmelina Diamond,IBQ,Pendiente de Calcular,Acreditado(a),TEC21,Otro Campus
A07227324,Denisha Cromer,IBQ,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A08339750,Bruce Brittain,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A00700189,Sharice Macmillan,AMC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A06060013,Huong Cotter,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A00646587,Iluminada Sabo,AMC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A00761282,Nelle Pierce,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A05988080,Shaquana Sharp,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A06646235,Coralie Healey,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02629868,Nicholas Santana,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02263933,Jerrie Wylie,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A05877324,Eulah Lehman,IIT,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A01156337,Laree Keefe,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A00356178,Darby Gunderson,IIT,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A05058143,Kaye Krause,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A08869212,Allie Oswalt,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A01325770,Loralee Metzger,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02932098,Lucy Pedigo,IBQ,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A05826461,Marvel Chacon,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A00829941,Ezra Eads,CIS,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02114834,Peter Page,IBQ,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A01411481,Zachary Richmond,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A08839962,Alfonzo Krause,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A06358269,Delbert Custer,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A00860079,Jenine Huynh,ICT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A04456476,Frida Swafford,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02434757,Dennise Aguayo,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A07607285,Steven Mcclintock,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A06931398,Dionne Riggs,ICI,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A06994262,Catherin Quinlan,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
